"is_challenger","match_id","game_length","placement","level","last_round","gold_left","n_legend","avg_unit_level","board_cost","match_avg_unit_level","match_avg_board_cost"
"Challenger","NA1_4801357163",2225,"4","8",33,1,"0",1.75,52,1.8858630952381,50.625
"Master/Grandmaster","NA1_4801362193",2034,"5","7",33,1,"0",2.14285714285714,33,1.98487103174603,44.375
"Challenger","NA1_4801362193",2034,"1","8",37,7,"0",2.11111111111111,59,1.98487103174603,44.375
"Challenger","NA1_4801362193",2034,"3","8",35,1,"1",2,44,1.98487103174603,44.375
"Challenger","NA1_4801362603",2094,"2","7",38,44,"1",2.57142857142857,43,1.84702380952381,43.75
"Master/Grandmaster","NA1_4801362603",2094,"8","7",21,0,"0",1.57142857142857,28,1.84702380952381,43.75
"Challenger","NA1_4801362603",2094,"5","8",33,0,"0",1.75,47,1.84702380952381,43.75
"Challenger","NA1_4801362945",2113,"2","8",35,1,"1",1.875,47,1.74518849206349,41.25
"Master/Grandmaster","NA1_4801362945",2113,"7","7",28,41,"1",1.71428571428571,30,1.74518849206349,41.25
"Challenger","NA1_4801362945",2113,"5","9",33,0,"1",1.77777777777778,52,1.74518849206349,41.25
"Master/Grandmaster","NA1_4801369446",2203,"8","8",26,0,"0",1.625,35,1.97232142857143,43.5
"Challenger","NA1_4801369446",2203,"3","8",35,0,"1",2,48,1.97232142857143,43.5
"Master/Grandmaster","NA1_4801369446",2203,"7","7",27,0,"1",2,34,1.97232142857143,43.5
"Challenger","NA1_4801372638",1990,"2","7",35,27,"0",2.57142857142857,39,1.94122023809524,37.5
"Master/Grandmaster","NA1_4801372638",1990,"8","6",28,2,"1",2.16666666666667,28,1.94122023809524,37.5
"Master/Grandmaster","NA1_4801372638",1990,"4","8",34,1,"0",1.875,47,1.94122023809524,37.5
"Master/Grandmaster","NA1_4801373130",2118,"1","8",38,4,"1",2.625,56,2.625,56
"Master/Grandmaster","NA1_4801375078",1955,"5","7",28,18,"0",2.14285714285714,46,1.82222222222222,43.2
"Master/Grandmaster","NA1_4801375078",1955,"1","8",35,2,"0",1.77777777777778,68,1.82222222222222,43.2
"Master/Grandmaster","NA1_4801375078",1955,"2","8",35,0,"1",1.33333333333333,35,1.82222222222222,43.2
"Challenger","NA1_4801377945",2202,"6","7",24,5,"1",2,30,1.95114087301587,36.875
"Challenger","NA1_4801377945",2202,"4","7",34,1,"1",2.14285714285714,36,1.95114087301587,36.875
"Challenger","NA1_4801377945",2202,"2","7",38,7,"1",2.57142857142857,45,1.95114087301587,36.875
"Challenger","NA1_4801379071",2157,"4","8",34,39,"1",1.875,51,1.86284722222222,41.5
"Master/Grandmaster","NA1_4801379071",2157,"8","6",23,1,"1",2,27,1.86284722222222,41.5
"Challenger","NA1_4801379071",2157,"5","8",33,0,"0",2,34,1.86284722222222,41.5
"Challenger","NA1_4801379340",2082,"7","7",28,0,"0",2,36,2.02559523809524,47.875
"Master/Grandmaster","NA1_4801379340",2082,"8","6",21,51,"0",2.66666666666667,23,2.02559523809524,47.875
"Master/Grandmaster","NA1_4801379340",2082,"6","9",30,5,"0",1.66666666666667,45,2.02559523809524,47.875
"Master/Grandmaster","NA1_4801381183",2472,"7","8",26,1,"0",1.44444444444444,32,1.97738546176046,45.5
